Valor, Tiempo (ms)
LNS 10 iter
15551, 108
15268, 114
14724, 106
14767, 126
14890, 117
15435, 110
14659, 102
15324, 114
14924, 107
15079, 103
21785, 255
23350, 279
23048, 274
22381, 260
23230, 259
22846, 259
22576, 260
23315, 259
21607, 243
22928, 266
46537, 882
44699, 833
46323, 877
46287, 847
46542, 876
45674, 871
45487, 873
46208, 849
46020, 861
46291, 868
LNS 50 iter
15577, 397
15289, 413
14790, 388
14751, 414
14908, 400
15460, 403
14680, 392
15326, 406
14935, 395
15118, 392
21841, 980
23377, 1038
23080, 997
22437, 981
23253, 994
22855, 960
22626, 1013
23336, 972
21636, 935
22995, 980
46562, 3060
44726, 2976
46371, 3362
46308, 3335
46592, 3461
45681, 3475
45505, 3484
46240, 3267
46041, 3093
46327, 3088
