Valor, Tiempo (ms)
VNS 10 iter
15521, 424
15251, 440
14745, 428
14691, 463
14894, 445
15427, 429
14633, 486
15282, 451
14905, 424
15062, 431
21780, 1056
23319, 1101
23016, 1094
22400, 1056
23173, 1078
22795, 1092
22557, 1029
23281, 1035
21547, 1057
22898, 1028
46507, 4128
44693, 4055
46296, 4160
46255, 4129
46524, 4349
45630, 4133
45429, 4069
46108, 4103
45999, 4155
46273, 4075
VNS 50 iter
15557, 2120
15267, 2248
14758, 2097
14740, 2192
14890, 2166
15437, 2241
14657, 2155
15299, 2172
14906, 2161
15096, 2172
21817, 4993
23330, 5364
23044, 5365
22380, 5116
23199, 5118
22800, 5441
22588, 5262
23269, 5121
21574, 4907
22920, 5121
46518, 20584
44691, 20080
46317, 20638
46266, 21507
46535, 24465
45636, 20657
45457, 20386
46206, 20779
46010, 20651
46290, 20764
