Valor, Tiempo (ms)
Grasp mov 1 10 iter
15452, 340
15179, 311
14723, 347
14732, 318
14866, 322
15421, 309
14620, 306
15276, 306
14878, 317
15066, 326
21741, 753
23256, 766
22994, 741
22355, 729
23188, 746
22723, 739
22448, 742
23248, 715
21500, 692
22901, 721
46432, 2968
44654, 2878
46323, 2922
46272, 2885
46510, 2943
45594, 2909
45393, 2842
46130, 2881
45989, 2883
46231, 2871
Grasp mov 2 10 iter
15459, 300
15263, 310
14694, 298
14715, 307
14847, 301
15364, 305
14567, 295
15224, 305
14890, 302
15002, 300
21761, 694
23268, 770
22965, 717
22319, 711
23172, 706
22738, 712
22524, 714
23238, 717
21525, 678
22891, 708
46491, 2872
44663, 2837
46313, 2865
46174, 2859
46492, 2872
45596, 2903
45400, 2844
46082, 3230
45917, 3205
46245, 3583
Grasp mov 3 10 iter
15522, 317
15253, 359
14742, 300
14676, 311
14860, 317
15409, 308
14653, 303
15208, 311
14801, 305
14974, 302
21742, 954
23251, 813
22933, 788
22285, 888
23109, 946
22767, 855
22483, 751
23194, 785
21443, 729
22794, 720
46461, 3047
44647, 2869
46318, 2922
46142, 2899
46449, 2906
45515, 2925
45408, 2928
46084, 2886
45877, 2894
46219, 2907
Grasp mov 4 10 iter
15550, 297
15261, 304
14749, 299
14722, 301
14868, 316
15434, 309
14646, 304
15291, 310
14884, 310
15073, 297
21787, 704
23310, 731
23023, 723
22386, 706
23197, 710
22773, 708
22556, 715
23275, 714
21560, 686
22922, 718
46514, 2878
44692, 2849
46307, 2896
46258, 2842
46532, 2890
45605, 2942
45440, 2868
46158, 2880
45987, 2880
46274, 2866
Grasp mov 1 50 iter
15547, 1492
15267, 1530
14750, 1486
14714, 1529
14878, 1531
15427, 1519
14667, 1786
15293, 1926
14882, 2059
15024, 1970
21765, 4750
23322, 4813
23027, 4696
22367, 4629
23178, 4673
22803, 4725
22593, 5241
23254, 5219
21577, 5036
22922, 4799
46521, 19445
44655, 18896
46325, 19213
46242, 19540
46518, 19895
45631, 19953
45448, 20054
46182, 20312
45988, 20564
46292, 20991
Grasp mov 2 50 iter
15472, 2022
15251, 2106
14736, 2272
14715, 2263
14877, 2219
15399, 2191
14646, 2424
15281, 2359
14889, 2272
15098, 2170
21786, 5270
23307, 5570
23017, 5166
22410, 4828
23203, 4967
22797, 5050
22559, 4900
23248, 4864
21584, 4674
22930, 5611
46521, 22551
44662, 20288
46303, 19053
46243, 19591
46533, 20375
45650, 20295
45456, 20317
46160, 19770
45996, 21172
46256, 19264
Grasp mov 3 50 iter
15464, 2105
15263, 2135
14722, 2078
14661, 2156
14816, 2133
15400, 2114
14612, 2098
15276, 2169
14885, 2111
15061, 2097
21773, 4940
23327, 5177
23031, 5469
22369, 5312
23188, 4526
22806, 5413
22561, 5434
23234, 4922
21563, 4896
22897, 5395
46495, 20594
44647, 19794
46306, 20541
46248, 20466
46510, 20355
45636, 20238
45451, 19865
46177, 20046
45976, 20164
46258, 20133
Grasp mov 4 50 iter
15556, 2071
15275, 2109
14741, 2148
14732, 2122
14879, 2118
15430, 2077
14651, 2067
15292, 2114
14907, 2136
15104, 2217
21797, 4974
23320, 5143
23030, 5140
22387, 5365
23200, 5064
22796, 5004
22585, 5113
23263, 5058
21580, 4813
22913, 4989
46515, 20310
44688, 20719
46316, 21306
46267, 21136
46541, 22527
45647, 22331
45474, 21429
46175, 21958
46004, 22573
46283, 21810
