Valor, Tiempo (ms)
Multiarranque mov 1
10260, 85
10382, 81
10200, 78
10139, 84
10185, 79
10663, 80
10493, 81
10791, 80
9947, 77
10258, 81
16352, 156
17633, 155
17258, 159
16568, 170
17896, 173
16971, 158
17099, 193
17186, 184
16060, 154
16617, 152
35313, 476
33431, 459
35162, 468
35093, 469
34703, 472
34691, 478
33808, 487
35171, 496
35719, 476
34145, 494
Multiarranque mov 2
10495, 76
10490, 80
9832, 77
10025, 95
10050, 117
10716, 109
10323, 102
10586, 95
10357, 81
10270, 84
16345, 175
17807, 189
17495, 170
16947, 157
16930, 156
16737, 164
17031, 164
16714, 157
15643, 158
16921, 167
35346, 478
33251, 511
35463, 500
35147, 503
34868, 502
33828, 512
35301, 525
34767, 516
34506, 530
35905, 495
Multiarranque mov 3
10624, 105
10466, 116
10204, 120
9740, 122
10499, 123
10974, 147
10267, 146
10514, 99
10430, 178
10491, 156
16685, 159
18024, 161
17880, 258
16826, 161
17657, 157
17102, 255
17399, 438
17365, 164
15182, 199
17033, 259
35402, 1177
33367, 821
34774, 521
35128, 502
35600, 486
34680, 480
34861, 1690
35274, 836
35477, 506
35721, 1195
Multiarranque mov 4
10752, 88
10371, 90
10056, 95
10181, 101
10077, 95
11183, 92
10271, 88
10595, 88
10578, 92
10233, 95
16345, 194
17749, 193
18268, 174
16677, 184
17576, 242
17386, 216
17072, 194
17142, 187
15445, 174
17411, 174
35102, 541
33375, 540
35330, 526
35453, 485
34619, 479
35004, 481
35003, 477
34152, 479
35778, 489
35010, 496
